"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"204848_x_at",-1.16753417695988,6.97336009645725,-6.57088639091323,2.88357707824902e-09,4.31239919695456e-07,10.9222521553009
"205022_s_at",-1.69462815677752,6.88896440118298,-6.56926016781914,2.90513482573551e-09,4.31567462145763e-07,10.9150827513898
"210375_at",-1.28527814337311,9.21812729225128,-6.55865755674391,3.04964743928074e-09,4.50035058870813e-07,10.8683549799477
"213451_x_at",-1.37760289497007,7.48207612974819,-6.55324343272729,3.12616128033926e-09,4.58291130327629e-07,10.8445040361406
"216834_at",1.5571685887665,9.3862723430714,6.55024611109607,3.16933365263116e-09,4.61583410337125e-07,10.8313028396288
"214093_s_at",1.23051246854678,8.77981358375004,6.52589132630316,3.5427069192906e-09,5.09304117951952e-07,10.7241149809815
"207275_s_at",-1.18554331228469,10.3609907190354,-6.52252345969885,3.59765049390723e-09,5.13887474075222e-07,10.7093037433344
"206093_x_at",-1.46221614498771,7.4903467204747,-6.51458218677111,3.73056342222123e-09,5.29478628900354e-07,10.6743902552706
"202464_s_at",-1.26888401995496,10.6597236788089,-6.5118642381904,3.77715992240881e-09,5.32699079436933e-07,10.6624443699364
"205968_at",1.23601907581415,9.26372617859275,6.49921129961158,4.00177051192086e-09,5.60826744132909e-07,10.6068557310077
"219298_at",-1.7849594807616,8.03232106827357,-6.49667925361727,4.04827949372661e-09,5.63798824741938e-07,10.5957362280343
"204825_at",1.7844563302894,7.75758522782117,6.48273351784953,4.31417871141186e-09,5.93412618681423e-07,10.5345212138727
"204419_x_at",-1.75380520092637,8.28792284970134,-6.48100435285011,4.34832872409176e-09,5.94440545760347e-07,10.5269343084019
"212071_s_at",-1.14894843695123,10.9454919310986,-6.46839111685273,4.60564965119121e-09,6.25778604740815e-07,10.4716143782652
"206201_s_at",-2.3020844747187,6.60087212444266,-6.46512418701564,4.67471660907502e-09,6.31313395151628e-07,10.4572924139303
"201539_s_at",-1.34799886749337,8.69623484280462,-6.46212836590935,4.73895146117129e-09,6.36132863911325e-07,10.4441612701301
"208651_x_at",1.01152328750774,10.5095868539253,6.45450460837067,4.90637829283063e-09,6.5466363771943e-07,10.4107551221589
"204653_at",1.08841084085631,10.6296712353297,6.43154038114112,5.44684222361857e-09,7.18177427626583e-07,10.3102161702301
"208789_at",-1.59990445903271,10.2684001688433,-6.3913084844031,6.53914783549718e-09,8.57128418931668e-07,10.1343959290736
"204326_x_at",-1.13379731924363,10.4020240161066,-6.37670692597688,6.98694252943056e-09,9.10468072416966e-07,10.0706859241501
"203986_at",-1.44431968211785,9.36151267249806,-6.36740558251381,7.28785162069142e-09,9.44158125952715e-07,10.0301304037515
"203400_s_at",-1.67876942719491,8.70758178105886,-6.33024414472646,8.62321425744261e-09,1.10431657068157e-06,9.86832263262205
"218031_s_at",-1.64225676765549,7.45920550202639,-6.32224747242332,8.94073418518344e-09,1.13843645627682e-06,9.83355062169757
"212097_at",-1.55668279406143,11.2919388459517,-6.28616349695893,1.05232013750981e-08,1.31735110247928e-06,9.67685583199821
"221246_x_at",-1.09073873815885,10.3369948801884,-6.25432197718969,1.21473334697136e-08,1.5037723983646e-06,9.53887214330105
"201719_s_at",-1.26572935346366,9.9200867070693,-6.23726773380506,1.31165420358833e-08,1.61478401207507e-06,9.46508096352965
"218625_at",-1.14403964002086,9.82508510832495,-6.23491681858532,1.3255998221798e-08,1.62298576030948e-06,9.45491510788687
"205609_at",-1.08426491074309,9.73211788769535,-6.22947727830297,1.35843066907273e-08,1.65409347535233e-06,9.43139916876761
"221295_at",-1.16671211313898,9.46021073209614,-6.22366455803715,1.39440108516584e-08,1.68866518373644e-06,9.4062788656743
"213364_s_at",-1.12239402829805,6.99070952956116,-6.20521627692176,1.51490409379998e-08,1.82468150930513e-06,9.32661411756229
"212653_s_at",-1.56164997784922,9.37444111522344,-6.19803824514216,1.56451867800987e-08,1.87431019903731e-06,9.29564280024207
"211699_x_at",-1.93502471312359,9.18235751257392,-6.1960589687927,1.5784792052838e-08,1.8809225738684e-06,9.28710525658375
"212419_at",-1.12855477962203,10.1415312374329,-6.17729327621538,1.71709902900363e-08,2.01379566648884e-06,9.20621424916108
"202489_s_at",1.36711506620457,8.17217165171687,6.16753712691579,1.79384349737022e-08,2.09278610742936e-06,9.16419850432712
"203337_x_at",-1.65221594227847,9.37977607122339,-6.16553462152844,1.81000933034436e-08,2.10064780771164e-06,9.15557784014711
"201890_at",1.47179269493,10.1411868434033,6.15723264951147,1.87857648626647e-08,2.16892848929927e-06,9.11985040634049
"203397_s_at",1.53930049617233,8.29524699424502,6.15344123331537,1.91073658921476e-08,2.19468780502435e-06,9.10354056656422
"218175_at",-1.35902941489918,7.96976356395736,-6.13738040947083,2.05310064513713e-08,2.34611495772259e-06,9.03449562757254
"203851_at",-1.35634456045171,9.36033592786396,-6.11625058714009,2.25643587857022e-08,2.54676624690547e-06,8.94377130008336
"201242_s_at",1.20496124221665,9.91135351826045,6.10097031478058,2.41573059007781e-08,2.70416741584364e-06,8.87824291407579
